drug_name,side_effect,gender_specific,severity,age_group,frequency_in_females,category,risk_level,requires_monitoring,safer_alternative,pregnancy_risk,breastfeeding_risk
Beta_Blockers,weight_gain,Female_Specific,Moderate,31-45,Frequent,Cardiovascular,Higher,Yes,Calcium Channel Blockers,Medium,Medium
Beta_Blockers,hair_loss,Female_Specific,Moderate,31-45,Common,Cardiovascular,Higher,Yes,Calcium Channel Blockers,Medium,High
Beta_Blockers,fatigue,General,Severe,31-45,Frequent,Cardiovascular,Higher,Yes,Calcium Channel Blockers,Low,Medium
Beta_Blockers,dizziness,General,Severe,31-45,Frequent,Cardiovascular,Higher,Yes,Calcium Channel Blockers,Unknown,Low
Beta_Blockers,cold_hands,General,Severe,31-45,Rare,Cardiovascular,Higher,Yes,Calcium Channel Blockers,Medium,Low
Beta_Blockers,depression_risk,Female_Specific,Severe,31-45,Frequent,Cardiovascular,Higher,Yes,Calcium Channel Blockers,Medium,High
Beta_Blockers,weight_gain,Female_Specific,Severe,31-45,Frequent,Cardiovascular,Higher,Yes,Calcium Channel Blockers,Medium,Medium
Beta_Blockers,hair_loss,Female_Specific,Severe,31-45,Common,Cardiovascular,Higher,Yes,Calcium Channel Blockers,High,Medium
Beta_Blockers,fatigue,General,Mild,46-60,Frequent,Cardiovascular,Higher,No,Calcium Channel Blockers,Unknown,Low
Beta_Blockers,dizziness,General,Mild,46-60,Common,Cardiovascular,Higher,No,Calcium Channel Blockers,Medium,Unknown
Beta_Blockers,cold_hands,General,Mild,46-60,Frequent,Cardiovascular,Higher,Yes,Calcium Channel Blockers,High,High
Beta_Blockers,depression_risk,Female_Specific,Mild,46-60,Common,Cardiovascular,Higher,Yes,Calcium Channel Blockers,High,Medium
Beta_Blockers,weight_gain,Female_Specific,Mild,46-60,Common,Cardiovascular,Higher,Yes,Calcium Channel Blockers,Medium,High
Beta_Blockers,hair_loss,Female_Specific,Mild,46-60,Frequent,Cardiovascular,Higher,Yes,Calcium Channel Blockers,Medium,High
Beta_Blockers,fatigue,General,Moderate,46-60,Frequent,Cardiovascular,Higher,Yes,Calcium Channel Blockers,Unknown,Low
Beta_Blockers,dizziness,General,Moderate,46-60,Rare,Cardiovascular,Higher,Yes,Calcium Channel Blockers,High,High
Beta_Blockers,cold_hands,General,Moderate,46-60,Rare,Cardiovascular,Higher,Yes,Calcium Channel Blockers,High,Unknown
Beta_Blockers,depression_risk,Female_Specific,Moderate,46-60,Common,Cardiovascular,Higher,Yes,Calcium Channel Blockers,High,Medium
Beta_Blockers,weight_gain,Female_Specific,Moderate,46-60,Common,Cardiovascular,Higher,Yes,Calcium Channel Blockers,High,Medium
Beta_Blockers,hair_loss,Female_Specific,Moderate,46-60,Common,Cardiovascular,Higher,Yes,Calcium Channel Blockers,Medium,Medium
Beta_Blockers,fatigue,General,Severe,46-60,Rare,Cardiovascular,Higher,Yes,Calcium Channel Blockers,Unknown,High
Beta_Blockers,dizziness,General,Severe,46-60,Frequent,Cardiovascular,Higher,Yes,Calcium Channel Blockers,Low,Medium
Beta_Blockers,cold_hands,General,Severe,46-60,Rare,Cardiovascular,Higher,Yes,Calcium Channel Blockers,Unknown,Medium
Beta_Blockers,depression_risk,Female_Specific,Severe,46-60,Common,Cardiovascular,Higher,Yes,Calcium Channel Blockers,High,High
Beta_Blockers,weight_gain,Female_Specific,Severe,46-60,Common,Cardiovascular,Higher,Yes,Calcium Channel Blockers,Medium,Medium
Beta_Blockers,hair_loss,Female_Specific,Severe,46-60,Common,Cardiovascular,Higher,Yes,Calcium Channel Blockers,Medium,High
Beta_Blockers,fatigue,General,Mild,60+,Frequent,Cardiovascular,Higher,Yes,Calcium Channel Blockers,Unknown,Low
Beta_Blockers,dizziness,General,Mild,60+,Rare,Cardiovascular,Higher,No,Calcium Channel Blockers,Unknown,Low
Beta_Blockers,cold_hands,General,Mild,60+,Frequent,Cardiovascular,Higher,No,Calcium Channel Blockers,Unknown,Medium
Beta_Blockers,depression_risk,Female_Specific,Mild,60+,Common,Cardiovascular,Higher,Yes,Calcium Channel Blockers,High,High
Beta_Blockers,weight_gain,Female_Specific,Mild,60+,Common,Cardiovascular,Higher,Yes,Calcium Channel Blockers,Medium,Medium
Beta_Blockers,hair_loss,Female_Specific,Mild,60+,Common,Cardiovascular,Higher,Yes,Calcium Channel Blockers,High,High
Beta_Blockers,fatigue,General,Moderate,60+,Common,Cardiovascular,Higher,No,Calcium Channel Blockers,Low,Low
Beta_Blockers,dizziness,General,Moderate,60+,Rare,Cardiovascular,Higher,Yes,Calcium Channel Blockers,High,Medium
Beta_Blockers,cold_hands,General,Moderate,60+,Frequent,Cardiovascular,Higher,Yes,Calcium Channel Blockers,High,Unknown
Beta_Blockers,depression_risk,Female_Specific,Moderate,60+,Common,Cardiovascular,Higher,Yes,Calcium Channel Blockers,Medium,High
Beta_Blockers,weight_gain,Female_Specific,Moderate,60+,Common,Cardiovascular,Higher,Yes,Calcium Channel Blockers,Medium,Medium
Beta_Blockers,hair_loss,Female_Specific,Moderate,60+,Common,Cardiovascular,Higher,Yes,Calcium Channel Blockers,Medium,High
Beta_Blockers,fatigue,General,Severe,60+,Common,Cardiovascular,Higher,Yes,Calcium Channel Blockers,Low,High
Beta_Blockers,dizziness,General,Severe,60+,Rare,Cardiovascular,Higher,Yes,Calcium Channel Blockers,Medium,High
Beta_Blockers,cold_hands,General,Severe,60+,Frequent,Cardiovascular,Higher,Yes,Calcium Channel Blockers,Medium,Low
Beta_Blockers,depression_risk,Female_Specific,Severe,60+,Frequent,Cardiovascular,Higher,Yes,Calcium Channel Blockers,High,High
Beta_Blockers,weight_gain,Female_Specific,Severe,60+,Frequent,Cardiovascular,Higher,Yes,Calcium Channel Blockers,High,Medium
Beta_Blockers,hair_loss,Female_Specific,Severe,60+,Common,Cardiovascular,Higher,Yes,Calcium Channel Blockers,High,High
Calcium_Channel_Blockers,ankle_swelling,General,Mild,18-30,Frequent,Cardiovascular,Higher,Yes,Consult physician for alternatives,Medium,High
Calcium_Channel_Blockers,flushing,General,Mild,18-30,Rare,Cardiovascular,Higher,Yes,Consult physician for alternatives,Unknown,Low
Calcium_Channel_Blockers,headache,General,Mild,18-30,Frequent,Cardiovascular,Higher,Yes,Consult physician for alternatives,Medium,Medium
Calcium_Channel_Blockers,gum_swelling_more_common,Female_Specific,Mild,18-30,Common,Cardiovascular,Higher,Yes,Consult physician for alternatives,Medium,Medium
Calcium_Channel_Blockers,ankle_edema_2x_risk,Female_Specific,Mild,18-30,Common,Cardiovascular,Higher,Yes,Consult physician for alternatives,Medium,High
Calcium_Channel_Blockers,ankle_swelling,General,Moderate,18-30,Rare,Cardiovascular,Higher,No,Consult physician for alternatives,Medium,High
Calcium_Channel_Blockers,flushing,General,Moderate,18-30,Common,Cardiovascular,Higher,No,Consult physician for alternatives,High,Medium
Calcium_Channel_Blockers,headache,General,Moderate,18-30,Common,Cardiovascular,Higher,Yes,Consult physician for alternatives,Unknown,Unknown
Calcium_Channel_Blockers,gum_swelling_more_common,Female_Specific,Moderate,18-30,Common,Cardiovascular,Higher,Yes,Consult physician for alternatives,High,High
Calcium_Channel_Blockers,ankle_edema_2x_risk,Female_Specific,Moderate,18-30,Frequent,Cardiovascular,Higher,Yes,Consult physician for alternatives,High,High
Calcium_Channel_Blockers,ankle_swelling,General,Severe,18-30,Rare,Cardiovascular,Higher,Yes,Consult physician for alternatives,Medium,Low
Calcium_Channel_Blockers,flushing,General,Severe,18-30,Rare,Cardiovascular,Higher,No,Consult physician for alternatives,High,Medium
Calcium_Channel_Blockers,headache,General,Severe,18-30,Common,Cardiovascular,Higher,Yes,Consult physician for alternatives,Unknown,Low
Calcium_Channel_Blockers,gum_swelling_more_common,Female_Specific,Severe,18-30,Common,Cardiovascular,Higher,Yes,Consult physician for alternatives,High,Medium
Calcium_Channel_Blockers,ankle_edema_2x_risk,Female_Specific,Severe,18-30,Frequent,Cardiovascular,Higher,Yes,Consult physician for alternatives,Medium,High
Calcium_Channel_Blockers,ankle_swelling,General,Mild,31-45,Rare,Cardiovascular,Higher,No,Consult physician for alternatives,Medium,Low
Calcium_Channel_Blockers,flushing,General,Mild,31-45,Rare,Cardiovascular,Higher,No,Consult physician for alternatives,Unknown,Medium
Calcium_Channel_Blockers,headache,General,Mild,31-45,Common,Cardiovascular,Higher,No,Consult physician for alternatives,Medium,High
Calcium_Channel_Blockers,gum_swelling_more_common,Female_Specific,Mild,31-45,Common,Cardiovascular,Higher,Yes,Consult physician for alternatives,Medium,High
Calcium_Channel_Blockers,ankle_edema_2x_risk,Female_Specific,Mild,31-45,Frequent,Cardiovascular,Higher,Yes,Consult physician for alternatives,Medium,Medium
Calcium_Channel_Blockers,ankle_swelling,General,Moderate,31-45,Common,Cardiovascular,Higher,No,Consult physician for alternatives,Low,Low
Calcium_Channel_Blockers,flushing,General,Moderate,31-45,Rare,Cardiovascular,Higher,No,Consult physician for alternatives,Unknown,High
Calcium_Channel_Blockers,headache,General,Moderate,31-45,Common,Cardiovascular,Higher,Yes,Consult physician for alternatives,Low,Medium
Calcium_Channel_Blockers,gum_swelling_more_common,Female_Specific,Moderate,31-45,Common,Cardiovascular,Higher,Yes,Consult physician for alternatives,High,High
Calcium_Channel_Blockers,ankle_edema_2x_risk,Female_Specific,Moderate,31-45,Common,Cardiovascular,Higher,Yes,Consult physician for alternatives,Medium,Medium
Calcium_Channel_Blockers,ankle_swelling,General,Severe,31-45,Rare,Cardiovascular,Higher,Yes,Consult physician for alternatives,Unknown,High
Calcium_Channel_Blockers,flushing,General,Severe,31-45,Rare,Cardiovascular,Higher,No,Consult physician for alternatives,Low,Low
Calcium_Channel_Blockers,headache,General,Severe,31-45,Frequent,Cardiovascular,Higher,Yes,Consult physician for alternatives,Medium,High
Calcium_Channel_Blockers,gum_swelling_more_common,Female_Specific,Severe,31-45,Frequent,Cardiovascular,Higher,Yes,Consult physician for alternatives,High,High
Calcium_Channel_Blockers,ankle_edema_2x_risk,Female_Specific,Severe,31-45,Common,Cardiovascular,Higher,Yes,Consult physician for alternatives,Medium,High
Calcium_Channel_Blockers,ankle_swelling,General,Mild,46-60,Common,Cardiovascular,Higher,No,Consult physician for alternatives,Medium,High
Calcium_Channel_Blockers,flushing,General,Mild,46-60,Rare,Cardiovascular,Higher,No,Consult physician for alternatives,Unknown,Unknown
Calcium_Channel_Blockers,headache,General,Mild,46-60,Common,Cardiovascular,Higher,Yes,Consult physician for alternatives,Low,Unknown
Calcium_Channel_Blockers,gum_swelling_more_common,Female_Specific,Mild,46-60,Common,Cardiovascular,Higher,Yes,Consult physician for alternatives,Medium,Medium
Calcium_Channel_Blockers,ankle_edema_2x_risk,Female_Specific,Mild,46-60,Common,Cardiovascular,Higher,Yes,Consult physician for alternatives,Medium,High
Calcium_Channel_Blockers,ankle_swelling,General,Moderate,46-60,Frequent,Cardiovascular,Higher,No,Consult physician for alternatives,High,Medium
Calcium_Channel_Blockers,flushing,General,Moderate,46-60,Common,Cardiovascular,Higher,Yes,Consult physician for alternatives,Medium,High
Calcium_Channel_Blockers,headache,General,Moderate,46-60,Frequent,Cardiovascular,Higher,No,Consult physician for alternatives,Low,High
Calcium_Channel_Blockers,gum_swelling_more_common,Female_Specific,Moderate,46-60,Common,Cardiovascular,Higher,Yes,Consult physician for alternatives,High,High
Calcium_Channel_Blockers,ankle_edema_2x_risk,Female_Specific,Moderate,46-60,Common,Cardiovascular,Higher,Yes,Consult physician for alternatives,High,Medium
Calcium_Channel_Blockers,ankle_swelling,General,Severe,46-60,Frequent,Cardiovascular,Higher,Yes,Consult physician for alternatives,Unknown,High
Calcium_Channel_Blockers,flushing,General,Severe,46-60,Rare,Cardiovascular,Higher,No,Consult physician for alternatives,High,High
Calcium_Channel_Blockers,headache,General,Severe,46-60,Common,Cardiovascular,Higher,No,Consult physician for alternatives,Low,Medium
Calcium_Channel_Blockers,gum_swelling_more_common,Female_Specific,Severe,46-60,Common,Cardiovascular,Higher,Yes,Consult physician for alternatives,High,Medium
Calcium_Channel_Blockers,ankle_edema_2x_risk,Female_Specific,Severe,46-60,Common,Cardiovascular,Higher,Yes,Consult physician for alternatives,High,High
Calcium_Channel_Blockers,ankle_swelling,General,Mild,60+,Rare,Cardiovascular,Higher,No,Consult physician for alternatives,Medium,Medium
Calcium_Channel_Blockers,flushing,General,Mild,60+,Common,Cardiovascular,Higher,Yes,Consult physician for alternatives,Low,Medium
Calcium_Channel_Blockers,headache,General,Mild,60+,Rare,Cardiovascular,Higher,Yes,Consult physician for alternatives,Medium,Low
Calcium_Channel_Blockers,gum_swelling_more_common,Female_Specific,Mild,60+,Frequent,Cardiovascular,Higher,Yes,Consult physician for alternatives,High,Medium
Calcium_Channel_Blockers,ankle_edema_2x_risk,Female_Specific,Mild,60+,Common,Cardiovascular,Higher,Yes,Consult physician for alternatives,High,High
Calcium_Channel_Blockers,ankle_swelling,General,Moderate,60+,Frequent,Cardiovascular,Higher,No,Consult physician for alternatives,Low,Low
Calcium_Channel_Blockers,flushing,General,Moderate,60+,Frequent,Cardiovascular,Higher,No,Consult physician for alternatives,Unknown,Unknown
Calcium_Channel_Blockers,headache,General,Moderate,60+,Rare,Cardiovascular,Higher,Yes,Consult physician for alternatives,High,Low
Calcium_Channel_Blockers,gum_swelling_more_common,Female_Specific,Moderate,60+,Common,Cardiovascular,Higher,Yes,Consult physician for alternatives,High,Medium
Calcium_Channel_Blockers,ankle_edema_2x_risk,Female_Specific,Moderate,60+,Common,Cardiovascular,Higher,Yes,Consult physician for alternatives,Medium,High
Calcium_Channel_Blockers,ankle_swelling,General,Severe,60+,Common,Cardiovascular,Higher,No,Consult physician for alternatives,Low,High
Calcium_Channel_Blockers,flushing,General,Severe,60+,Frequent,Cardiovascular,Higher,Yes,Consult physician for alternatives,Medium,High
Calcium_Channel_Blockers,headache,General,Severe,60+,Rare,Cardiovascular,Higher,Yes,Consult physician for alternatives,Medium,Low
Calcium_Channel_Blockers,gum_swelling_more_common,Female_Specific,Severe,60+,Common,Cardiovascular,Higher,Yes,Consult physician for alternatives,Medium,High
Calcium_Channel_Blockers,ankle_edema_2x_risk,Female_Specific,Severe,60+,Frequent,Cardiovascular,Higher,Yes,Consult physician for alternatives,High,Medium
Antidepressants_SSRI,nausea,General,Mild,18-30,Rare,Psychiatric,Higher,No,Therapy + Lifestyle changes,High,Low
Antidepressants_SSRI,drowsiness,General,Mild,18-30,Common,Psychiatric,Higher,Yes,Therapy + Lifestyle changes,Medium,Medium
Antidepressants_SSRI,dry_mouth,General,Mild,18-30,Frequent,Psychiatric,Higher,Yes,Therapy + Lifestyle changes,Unknown,Unknown
Antidepressants_SSRI,sexual_dysfunction,Female_Specific,Mild,18-30,Frequent,Psychiatric,Higher,Yes,Therapy + Lifestyle changes,Medium,High
